éö	Unicode	èoåªêî	JISÉRÅ[Éh(7bit)
„b	7DAF	1	25923
„l	7DF2	1	25933
„m	7DE1	1	25934
„n	7E05	1	25935
„q	7E21	1	25938
„t	7E1F	1	25941
„w	7E22	1	25944
„ë	7E7F	1	25969
„†	7F4C	1	26146
„£	7F50	1	26149
„≤	7F87	1	26164
„Ω	7FB6	1	26175
„æ	7FB8	1	26176
„¿	7FC5	1	26178
„√	7FD5	1	26181
„≈	7FE1	1	26183
„€	805F	1	26205
„Ô	80E5	1	26225
„ˆ	80EF	1	26232
‰B	813E	1	26403
‰V	81A9	1	26423
‰d	81C8	1	26437
‰o	8207	1	26448
‰w	8233	1	26456
‰á	8278	1	26471
‰à	827E	1	26472
‰é	82AC	1	26478
‰ë	82DF	1	26481
‰ó	8303	1	26487
‰∂	837C	1	26680
‰¡	83FD	1	26691
‰¬	8403	1	26692
‰«	8407	1	26697
‰Ã	8420	1	26702
‰÷	8477	1	26712
‰Ô	8521	1	26737
‰¸	8548	1	26750
ÂJ	856D	1	26923
ÂQ	857E	1	26930
ÂV	85B9	1	26935
Âa	85FA	1	26946
Ân	86A3	1	26959
Âx	86C9	1	26969
ÂÖ	8708	1	26981
ÂÜ	8700	1	26982
Ââ	8711	1	26985
Âç	870A	1	26989
Âè	873F	1	26991
Âë	873B	1	26993
Âñ	875F	1	26998
Âó	8778	1	26999
Âõ	8757	1	27003
Â±	87BB	1	27187
ÂŒ	887E	1	27216
Âœ	889E	1	27217
Â⁄	888D	1	27228
Â€	88A4	1	27229
Âﬂ	88C3	1	27233
Â‡	88C4	1	27234
ÂÈ	88E8	1	27243
ÂÏ	890C	1	27246
Âı	8944	1	27255
ÊD	896F	1	27429
ÊJ	898A	1	27435
ÊM	89A1	1	27438
ÊN	89A9	1	27439
ÊO	89A6	1	27440
ÊP	89AC	1	27441
Ê`	8A0C	1	27457
Êi	8A48	1	27466
Êt	8AA5	1	27477
Êz	8AC2	1	27483
Ê{	8ADA	1	27484
Ê|	8AEB	1	27485
Ê}	8AF3	1	27486
ÊÇ	8B14	1	27490
ÊÑ	8AE2	1	27492
Êé	8B17	1	27502
Êï	8B28	1	27509
Ê¢	8B74	1	27684
Ê´	8B9A	1	27693
Ê≠	8C41	1	27695
Ê∞	8C4C	1	27698
Ê±	8C4E	1	27699
Ê∑	8C7A	1	27705
Ê—	8D04	1	27731
Êÿ	9F4E	1	27738
Ê⁄	8CCD	1	27740
Ê·	8D81	1	27747
Ê‰	8DBE	1	27750
ÊÂ	8DBA	1	27751
ÊÊ	8DCF	1	27752
ÊÈ	8DCC	1	27755
ÊÍ	8DDB	1	27756
Ê	8DFC	1	27762
ÊÙ	8E1D	1	27766
ÁA	8E49	1	27938
ÁJ	8E55	1	27947
ÁN	8E81	1	27951
ÁQ	8E84	1	27954
ÁZ	8EAC	1	27963
Áe	8EFB	1	27974
Áp	8F1B	1	27985
Áq	8F0C	1	27986
Ár	8F26	1	27987
Áï	9021	1	28021
Á±	9080	1	28211
Á∂	90AF	1	28216
Á∑	90B1	1	28217
Á∫	90E4	1	28220
Áª	6248	1	28221
Á¿	9132	1	28226
Á≈	9163	1	28231
Á∆	9165	1	28232
Áÿ	91D0	1	28250
ÁÊ	925E	1	28264
Áˆ	92B9	1	28280
Á˜	92B7	1	28281
ËB	931A	1	28451
ËI	937C	1	28458
ËV	93C3	1	28471
ËW	93DD	1	28472
ËZ	93E4	1	28475
Ëa	9436	1	28482
Ëå	95CC	1	28524
Ëë	95E1	1	28529
Ë†	965F	1	28706
Ë•	9698	1	28711
Ë¶	9695	1	28712
Ëø	9711	1	28737
Ë¿	970F	1	28738
Ë¬	9719	1	28740
Ë≈	9730	1	28743
Ë 	9746	1	28748
ËÕ	9749	1	28751
Ëﬂ	979C	1	28769
ËË	97CB	1	28778
ËÒ	980C	1	28787
È@	9871	1	28961
ÈB	9873	1	28963
ÈM	9909	1	28974
ÈQ	9921	1	28978
È]	9950	1	28990
Èc	9997	1	28996
Èe	99A5	1	28998
Èp	99F1	1	29009
Èt	9A01	1	29013
ÈÇ	9A4D	1	29026
ÈÖ	9A5F	1	29029
Èà	9A64	1	29032
Èâ	9A69	1	29033
Èé	9ABC	1	29038
Èí	9AD3	1	29042
Èó	9AE3	1	29047
Èú	9AF4	1	29052
Èù	9AF1	1	29053
È•	9B23	1	29223
È¥	9B58	1	29238
È∂	9B93	1	29240
È∏	9B91	1	29242
ÈΩ	9BA8	1	29247
È¿	9BCA	1	29250
ÈŒ	9BF0	1	29264
È”	9C0C	1	29269
È’	9C08	1	29271
ÈÍ	9CF0	1	29292
ÈÓ	9D03	1	29296
ÈÚ	9DAF	1	29300
È˜	9D12	1	29305
Í@	9D5D	1	29473
ÍF	9D72	1	29479
ÍL	9D9A	1	29485
ÍR	9DBB	1	29491
ÍT	9DBA	1	29493
Íx	9EDC	1	29529
Íz	9EDD	1	29531
Í|	9EE5	1	29533
Í~	9EEF	1	29535
Íà	9F08	1	29544
Íë	9F63	1	29553
Íí	9F5F	1	29554
Íï	9F66	1	29557
Íñ	9F67	1	29558
Íó	9F6C	1	29559
Íò	9F6A	1	29560
Íô	9F77	1	29561
Íü	582F	1	29729
""""	22	0	34
#	23	0	35
$	24	0	36
%	25	0	37
(	28	0	40
)	29	0	41
*	2A	0	42
+	2B	0	43
/	2F	0	47
8	38	0	56
;	3B	0	59
<	3C	0	60
=	3D	0	61
>	3E	0	62
@	40	0	64
Q	51	0	81
X	58	0	88
Z	5A	0	90
[	5B	0	91
\	5C	0	92
]	5D	0	93
_	5F	0	95
j	6A	0	106
{	7B	0	123
|	7C	0	124
}	7D	0	125
~	7E	0	126
ÅC	FF0C	0	8484
ÅD	FF0E	0	8485
ÅF	FF1A	0	8487
ÅG	FF1B	0	8488
ÅJ	309B	0	8491
ÅK	309C	0	8492
ÅL	B4	0	8493
ÅM	FF40	0	8494
ÅN	A8	0	8495
ÅO	FF3E	0	8496
ÅP	FFE3	0	8497
ÅQ	FF3F	0	8498
ÅS	30FE	0	8500
ÅW	4EDD	0	8504
Å]	2010	0	8510
Å`	FF5E	0	8513
Åa	2225	0	8514
Åb	FF5C	0	8515
Åd	2025	0	8517
Åe	2018	0	8518
Åf	2019	0	8519
Åo	FF5B	0	8528
Åp	FF5D	0	8529
Ås	300A	0	8532
Åt	300B	0	8533
Å|	FF0D	0	8541
Å}	B1	0	8542
ÅÄ	F7	0	8544
ÅÇ	2260	0	8546
ÅÉ	FF1C	0	8547
ÅÑ	FF1E	0	8548
ÅÖ	2266	0	8549
ÅÜ	2267	0	8550
Åá	221E	0	8551
Åà	2234	0	8552
Åâ	2642	0	8553
Åä	2640	0	8554
Åã	B0	0	8555
Åå	2032	0	8556
Åé	2103	0	8558
Åè	FFE5	0	8559
Åê	FF04	0	8560
Åë	FFE0	0	8561
Åí	FFE1	0	8562
Åì	FF05	0	8563
Åî	FF03	0	8564
Åó	FF20	0	8567
Åò	A7	0	8568
Åô	2606	0	8569
Åû	25C7	0	8574
Åü	25C6	0	8737
Å†	25A1	0	8738
Å°	25A0	0	8739
Å¢	25B3	0	8740
Å£	25B2	0	8741
Å§	25BD	0	8742
Å•	25BC	0	8743
Åß	3012	0	8745
Å®	2192	0	8746
Å©	2190	0	8747
Å™	2191	0	8748
Å´	2193	0	8749
Å∏	2208	0	8762
Åπ	220B	0	8763
Å∫	2286	0	8764
Åª	2287	0	8765
Åº	2282	0	8766
ÅΩ	2283	0	8767
Åæ	222A	0	8768
Åø	2229	0	8769
Å»	2227	0	8778
Å…	2228	0	8779
Å 	FFE2	0	8780
ÅÀ	21D2	0	8781
ÅÃ	21D4	0	8782
ÅÕ	2200	0	8783
ÅŒ	2203	0	8784
Å⁄	2220	0	8796
Å€	22A5	0	8797
Å‹	2312	0	8798
Å›	2202	0	8799
Åﬁ	2207	0	8800
Åﬂ	2261	0	8801
Å‡	2252	0	8802
Å·	226A	0	8803
Å‚	226B	0	8804
Å„	221A	0	8805
Å‰	223D	0	8806
ÅÂ	221D	0	8807
ÅÊ	2235	0	8808
ÅÁ	222B	0	8809
ÅË	222C	0	8810
Å	212B	0	8818
ÅÒ	2030	0	8819
ÅÚ	266F	0	8820
ÅÛ	266D	0	8821
ÅÙ	266A	0	8822
Åı	2020	0	8823
Åˆ	2021	0	8824
Å˜	B6	0	8825
Å¸	25EF	0	8830
Çf	FF27	0	9031
Çh	FF29	0	9033
Çk	FF2C	0	9036
Çq	FF32	0	9042
Çu	FF36	0	9046
Çy	FF3A	0	9050
ÇÅ	FF41	0	9057
ÇÇ	FF42	0	9058
ÇÉ	FF43	0	9059
ÇÑ	FF44	0	9060
ÇÖ	FF45	0	9061
ÇÜ	FF46	0	9062
Çá	FF47	0	9063
Çà	FF48	0	9064
Çâ	FF49	0	9065
Çä	FF4A	0	9066
Çã	FF4B	0	9067
Çå	FF4C	0	9068
Çç	FF4D	0	9069
Çé	FF4E	0	9070
Çè	FF4F	0	9071
Çê	FF50	0	9072
Çë	FF51	0	9073
Çí	FF52	0	9074
Çì	FF53	0	9075
Çî	FF54	0	9076
Çï	FF55	0	9077
Çñ	FF56	0	9078
Çó	FF57	0	9079
Çò	FF58	0	9080
Çô	FF59	0	9081
Çö	FF5A	0	9082
Ç°	3043	0	9251
Çß	3049	0	9257
Éé	30EE	0	9582
Éë	30F1	0	9585
Éü	391	0	9761
É†	392	0	9762
É°	393	0	9763
É¢	394	0	9764
É£	395	0	9765
É§	396	0	9766
É•	397	0	9767
É¶	398	0	9768
Éß	399	0	9769
É®	39A	0	9770
É©	39B	0	9771
É™	39C	0	9772
É´	39D	0	9773
É¨	39E	0	9774
É≠	39F	0	9775
ÉÆ	3A0	0	9776
ÉØ	3A1	0	9777
É∞	3A3	0	9778
É±	3A4	0	9779
É≤	3A5	0	9780
É≥	3A6	0	9781
É¥	3A7	0	9782
Éµ	3A8	0	9783
É∂	3A9	0	9784
Éø	3B1	0	9793
É¿	3B2	0	9794
É¡	3B3	0	9795
É¬	3B4	0	9796
É√	3B5	0	9797
Éƒ	3B6	0	9798
É≈	3B7	0	9799
É∆	3B8	0	9800
É«	3B9	0	9801
É»	3BA	0	9802
É…	3BB	0	9803
É 	3BC	0	9804
ÉÀ	3BD	0	9805
ÉÃ	3BE	0	9806
ÉÕ	3BF	0	9807
Éœ	3C1	0	9809
É–	3C3	0	9810
É—	3C4	0	9811
É“	3C5	0	9812
É”	3C6	0	9813
É‘	3C7	0	9814
É’	3C8	0	9815
É÷	3C9	0	9816
Ñ@	410	0	10017
ÑA	411	0	10018
ÑB	412	0	10019
ÑC	413	0	10020
ÑD	414	0	10021
ÑE	415	0	10022
ÑF	401	0	10023
ÑG	416	0	10024
ÑH	417	0	10025
ÑI	418	0	10026
ÑJ	419	0	10027
ÑK	41A	0	10028
ÑL	41B	0	10029
ÑM	41C	0	10030
ÑN	41D	0	10031
ÑO	41E	0	10032
ÑP	41F	0	10033
ÑQ	420	0	10034
ÑR	421	0	10035
ÑS	422	0	10036
ÑT	423	0	10037
ÑU	424	0	10038
ÑV	425	0	10039
ÑW	426	0	10040
ÑX	427	0	10041
ÑY	428	0	10042
ÑZ	429	0	10043
Ñ[	42A	0	10044
Ñ\	42B	0	10045
Ñ]	42C	0	10046
Ñ^	42D	0	10047
Ñ_	42E	0	10048
Ñ`	42F	0	10049
Ñp	430	0	10065
Ñq	431	0	10066
Ñr	432	0	10067
Ñs	433	0	10068
Ñt	434	0	10069
Ñu	435	0	10070
Ñv	451	0	10071
Ñw	436	0	10072
Ñx	437	0	10073
Ñy	438	0	10074
Ñz	439	0	10075
Ñ{	43A	0	10076
Ñ|	43B	0	10077
Ñ}	43C	0	10078
Ñ~	43D	0	10079
ÑÄ	43E	0	10080
ÑÅ	43F	0	10081
ÑÇ	440	0	10082
ÑÉ	441	0	10083
ÑÑ	442	0	10084
ÑÖ	443	0	10085
ÑÜ	444	0	10086
Ñá	445	0	10087
Ñà	446	0	10088
Ñâ	447	0	10089
Ñä	448	0	10090
Ñã	449	0	10091
Ñå	44A	0	10092
Ñç	44B	0	10093
Ñé	44C	0	10094
Ñè	44D	0	10095
Ñê	44E	0	10096
Ñë	44F	0	10097
Ñü	2500	0	10273
Ñ†	2502	0	10274
Ñ°	250C	0	10275
Ñ§	2514	0	10278
Ñ¶	252C	0	10280
Ñß	2524	0	10281
Ñ®	2534	0	10282
Ñ©	253C	0	10283
Ñ™	2501	0	10284
Ñ´	2503	0	10285
Ñ¨	250F	0	10286
Ñ≠	2513	0	10287
ÑÆ	251B	0	10288
ÑØ	2517	0	10289
Ñ∞	2523	0	10290
Ñ±	2533	0	10291
Ñ≤	252B	0	10292
Ñ≥	253B	0	10293
Ñ¥	254B	0	10294
Ñµ	2520	0	10295
Ñ∂	252F	0	10296
Ñ∑	2528	0	10297
Ñ∏	2537	0	10298
Ñπ	253F	0	10299
Ñ∫	251D	0	10300
Ñª	2530	0	10301
Ñº	2525	0	10302
ÑΩ	2538	0	10303
Ñæ	2542	0	10304
à°	5A03	0	12323
à¶	59F6	0	12328
à™	7A50	0	12332
à∞	82A6	0	12338
àÚ	5141	0	12404
à˜	59FB	0	12409
âD	540B	0	12581
âU	851A	0	12598
â`	834F	0	12609
âl	745B	0	12621
âm	76C8	0	12622
ân	7A4E	0	12623
âo	9834	0	12624
âu	75AB	0	12630
ây	8B01	0	12634
âí	8597	0	12658
âï	9D1B	0	12661
âß	9D2C	0	12841
âœ	73C2	0	12881
â—	79BE	0	12883
â˚	62D0	0	12925
ä\	6D6C	0	13117
ä]	99A8	0	13118
äa	86CE	0	13122
äh	64B9	0	13129
äÄ	6A7F	0	13152
äÇ	9C0D	0	13154
äë	691B	0	13169
äñ	7AC3	0	13174
äû	8431	0	13182
ä§	4F83	0	13350
ä∫	6853	0	13372
äº	6B3E	0	13374
ä¡	6F45	0	13379
ä–	8ACC	0	13394
ä⁄	8218	0	13404
ãE	757F	0	13606
ãà	7B08	0	13672
ãò	92F8	0	13688
ãú	4EA8	0	13692
ã°	50D1	0	13859
ãƒ	5C2D	0	13894
ãÃ	7C81	0	13902
ã‹	887F	0	13918
ãÈ	77E9	0	13931
ã˙	91E7	0	13948
åT	5366	0	14133
åV	7941	0	14135
å\	572D	0	14141
å]	73EA	0	14142
år	7F6B	0	14163
åê	5039	0	14192
åÌ	9190	0	14447
çB	5751	0	14627
çP	6052	0	14641
ç_	6D69	0	14656
ç{	783F	0	14684
ç}	95A4	0	14686
çó	6F09	0	14711
çô	7511	0	14713
çù	72DB	0	14717
ç£	5764	0	14885
ç§	58BE	0	14886
ç´	68B1	0	14893
çØ	826E	0	14897
ç∫	7473	0	14908
çÂ	698A	0	14951
çÈ	57FC	0	14955
çÍ	7895	0	14956
éH	7690	0	15145
é£	74BD	0	15397
é∞	9D2B	0	15410
é±	7AFA	0	15411
é≥	5B8D	0	15413
é¡	8500	0	15427
é¯	7DAC	0	15482
èS	8F2F	0	15668
èU	914B	0	15670
èv	7AE3	0	15703
èy	51C6	0	15706
è±	5EE0	0	15923
è¥	6284	0	15926
èæ	6A1F	0	15936
è√	6E58	0	15941
èÎ	58CC	0	15981
è˚	57F4	0	15997
êp	58EC	0	16209
êx	976D	0	16217
ê~	53A8	0	16223
êö	6919	0	16250
êÒ	6834	0	16499
ëC	821B	0	16676
ëG	8CCE	0	16680
ëL	9291	0	16685
ëW	7CCE	0	16696
ëY	5851	0	16698
ëZ	5CA8	0	16699
ë`	758F	0	16705
ëx	531D	0	16729
ëå	7CDF	0	16748
ë¿	8A51	0	16962
ë∆	67C1	0	16968
ë»	6955	0	16970
ë–	5CB1	0	16978
ë·	9EDB	0	16995
ëÁ	918D	0	17001
ëÎ	7027	0	17005
ëÙ	7422	0	17014
ëˆ	9438	0	17016
í`	86CB	0	17217
íÑ	5AE1	0	17252
íî	6A17	0	17268
íï	7026	0	17269
íó	82E7	0	17271
íú	51CB	0	17276
í´	7252	0	17453
íΩ	6715	0	17471
í»	939A	0	17482
íŒ	69FB	0	17488
íŸ	58F7	0	17499
íÓ	608C	0	17520
íÙ	7887	0	17526
íı	798E	0	17527
ìF	64E2	0	17703
ìL	93D1	0	17709
ì[	751C	0	17724
ìp	83DF	0	17745
ìv	783A	0	17751
ìà	5D8B	0	17768
ìã	642D	0	17771
ìé	68BC	0	17774
ìì	6D9B	0	17779
ìó	75D8	0	17783
ìº	9D07	0	17982
ì…	6A61	0	17995
ìÃ	6934	0	17998
ì“	701E	0	18004
ì”	5678	0	18005
ì’	60C7	0	18007
ì„	8599	0	18021
ìÎ	7577	0	18029
ìÙ	8FE9	0	18038
îI	7962	0	18218
îU	5EFC	0	18230
îW	57DC	0	18232
î^	81BF	0	18239
îÄ	6973	0	18272
îä	77E7	0	18282
î°	7872	0	18467
î•	6AE8	0	18471
îŒ	91C6	0	18512
îŸ	532A	0	18523
î‹	5983	0	18526
î˘	6BD8	0	18555
ïA	67CA	0	18722
ïO	6867	0	18736
ïQ	5A9B	0	18738
ïV	5F6A	0	18743
ïg	86ED	0	18760
ïj	5F6C	0	18763
ïk	658C	0	18764
ïy	51A8	0	18778
ïá	8299	0	18791
ïå	961C	0	18796
ïô	8557	0	18809
ïÿ	5A29	0	19034
ñs	7A46	0	19284
ñè	67FE	0	19311
ñê	9C52	0	19312
ñô	4FAD	0	19321
ñÆ	7C8D	0	19504
ñ¥	725F	0	19510
ñ«	68C9	0	19529
ñÊ	5301	0	19560
ñı	9756	0	19575
ñ¯	9453	0	19578
óC	4F51	0	19748
óQ	7337	0	19762
óo	7194	0	19792
óu	84C9	0	19798
ó®	844E	0	20010
ó´	5289	0	20013
ó‘	7433	0	20054
ó‡	4F36	0	20066
óË	82D3	0	20074
òG	8CC2	0	20264
òK	5A41	0	20268
òP	6994	0	20273
òU	7BED	0	20278
ò`	502D	0	20289
òn	8568	0	20303
òü	5F0C	0	20513
ò°	4E15	0	20515
ò¢	4E2A	0	20516
ò£	4E31	0	20517
ò§	4E36	0	20518
ò¶	4E3F	0	20520
òß	4E42	0	20521
ò®	4E56	0	20522
ò©	4E58	0	20523
ò™	4E82	0	20524
ò´	4E85	0	20525
ò¨	8C6B	0	20526
ò≠	4E8A	0	20527
òÆ	8212	0	20528
òØ	5F0D	0	20529
ò±	4E9E	0	20531
ò≤	4E9F	0	20532
ò≥	4EA0	0	20533
òµ	4EB0	0	20535
ò∂	4EB3	0	20536
ò∑	4EB6	0	20537
ò∏	4ECE	0	20538
òπ	4ECD	0	20539
òº	4EC2	0	20542
òΩ	4ED7	0	20543
òæ	4EDE	0	20544
ò¿	4EDF	0	20546
ò¡	4EF7	0	20547
ò¬	4F09	0	20548
ò√	4F5A	0	20549
òƒ	4F30	0	20550
ò≈	4F5B	0	20551
ò∆	4F5D	0	20552
ò…	4F76	0	20555
òÀ	4F8F	0	20557
òœ	4F70	0	20561
ò“	4F86	0	20564
ò”	4F96	0	20565
ò’	4FD4	0	20567
òŸ	4FDB	0	20571
ò⁄	4FD1	0	20572
ò€	4FDA	0	20573
ò‹	4FD0	0	20574
ò·	5014	0	20579
ò‚	502A	0	20580
òÊ	4FF6	0	20584
òÁ	5021	0	20585
òË	5029	0	20586
òÈ	502C	0	20587
òÍ	4FFE	0	20588
òÏ	5011	0	20590
òÔ	5047	0	20593
ò	6703	0	20594
òÚ	5050	0	20596
òÛ	5048	0	20597
òı	5056	0	20599
ò¯	5080	0	20602
ò˙	5085	0	20604
ò˚	50B4	0	20605
ô@	50C9	0	20769
ôA	50CA	0	20770
ôB	50B3	0	20771
ôC	50C2	0	20772
ôD	50D6	0	20773
ôE	50DE	0	20774
ôG	50ED	0	20776
ôH	50E3	0	20777
ôI	50EE	0	20778
ôJ	50F9	0	20779
ôK	50F5	0	20780
ôL	5109	0	20781
ôM	5101	0	20782
ôO	5116	0	20784
ôQ	5114	0	20786
ôS	5121	0	20788
ôT	513A	0	20789
ôU	5137	0	20790
ôX	513F	0	20793
ôZ	5152	0	20795
ô[	514C	0	20796
ô\	5154	0	20797
ô^	7AF8	0	20799
ô_	5169	0	20800
ô`	516A	0	20801
ôc	5182	0	20804
ôd	56D8	0	20805
ôe	518C	0	20806
ôf	5189	0	20807
ôg	518F	0	20808
ôh	5191	0	20809
ôi	5193	0	20810
ôj	5195	0	20811
ôk	5196	0	20812
ôm	51A6	0	20814
ôn	51A2	0	20815
ôo	51A9	0	20816
ôp	51AA	0	20817
ôq	51AB	0	20818
ôr	51B3	0	20819
ôs	51B1	0	20820
ôt	51B2	0	20821
ôv	51B5	0	20823
ôw	51BD	0	20824
ôx	51C5	0	20825
ô|	8655	0	20829
ô}	51E9	0	20830
ôÅ	51F5	0	20833
ôÉ	5204	0	20835
ôÑ	520B	0	20836
ôÖ	5214	0	20837
ôá	5227	0	20839
ôâ	522E	0	20841
ôå	524F	0	20844
ôç	5244	0	20845
ôê	525E	0	20848
ôë	5254	0	20849
ôì	5274	0	20851
ôî	5269	0	20852
ôï	5273	0	20853
ôñ	527F	0	20854
ôò	528D	0	20856
ôô	5294	0	20857
ôö	5292	0	20858
ôù	5291	0	20861
ôû	8FA8	0	20862
ôü	8FA7	0	21025
ô†	52AC	0	21026
ô°	52AD	0	21027
ô¢	52BC	0	21028
ô£	52B5	0	21029
ô•	52CD	0	21031
ô¶	52D7	0	21032
ôß	52DE	0	21033
ô®	52E3	0	21034
ô©	52E6	0	21035
ô™	98ED	0	21036
ô´	52E0	0	21037
ô¨	52F3	0	21038
ô≠	52F5	0	21039
ôÆ	52F8	0	21040
ôØ	52F9	0	21041
ô∞	5306	0	21042
ô≤	7538	0	21044
ô¥	5310	0	21046
ôµ	530F	0	21047
ô∑	531A	0	21049
ôπ	532F	0	21051
ô∫	5331	0	21052
ôª	5333	0	21053
ôº	5338	0	21054
ôΩ	5340	0	21055
ôæ	5346	0	21056
ôø	5345	0	21057
ô¿	4E17	0	21058
ô¬	534D	0	21060
ô√	51D6	0	21061
ôƒ	535E	0	21062
ô≈	5369	0	21063
ô∆	536E	0	21064
ô«	5918	0	21065
ô»	537B	0	21066
ô…	5377	0	21067
ô 	5382	0	21068
ôÕ	53A6	0	21071
ôŒ	53A5	0	21072
ôœ	53AE	0	21073
ô–	53B0	0	21074
ô—	53B6	0	21075
ô“	53C3	0	21076
ô‘	96D9	0	21078
ô◊	71EE	0	21081
ôŸ	53E8	0	21083
ô€	53FA	0	21085
ô‹	5401	0	21086
ô›	543D	0	21087
ôﬂ	542C	0	21089
ô‚	542E	0	21092
ô„	5436	0	21093
ô‰	5429	0	21094
ôÊ	544E	0	21096
ôÁ	548F	0	21097
ôÎ	5471	0	21101
ôÌ	5470	0	21103
ô	5480	0	21106
ôÛ	5490	0	21109
ôÙ	5486	0	21110
ôˆ	54A2	0	21112
ô˜	54B8	0	21113
ô¯	54A5	0	21114
ô˚	54C8	0	21117
ô¸	54A8	0	21118
öA	54C2	0	21282
öC	54BE	0	21284
öD	54BC	0	21285
öE	54D8	0	21286
öG	54E6	0	21288
öH	550F	0	21289
öI	5514	0	21290
öJ	54FD	0	21291
öK	54EE	0	21292
öM	54FA	0	21294
öN	54E2	0	21295
öO	5539	0	21296
öP	5540	0	21297
öR	554C	0	21299
öS	552E	0	21300
öU	5545	0	21302
öW	5557	0	21304
öY	5533	0	21306
öZ	555D	0	21307
ö]	54AF	0	21310
ö_	559F	0	21312
ö`	557B	0	21313
öd	55AE	0	21317
öf	5583	0	21319
öi	55A8	0	21322
öo	55E4	0	21328
öp	55D4	0	21329
ör	55F7	0	21331
ös	5616	0	21332
öt	55FE	0	21333
öu	55FD	0	21334
öv	561B	0	21335
öw	55F9	0	21336
öx	564E	0	21337
öy	5650	0	21338
öz	71DF	0	21339
ö~	5638	0	21343
öÉ	566C	0	21347
öá	568A	0	21351
öà	56A0	0	21352
öä	568F	0	21354
öå	56AE	0	21356
öç	56B6	0	21357
öé	56B4	0	21358
öê	56BC	0	21360
öî	56C8	0	21364
öï	56CE	0	21365
öó	56D3	0	21367
öò	56D7	0	21368
öö	56F9	0	21370
öõ	5700	0	21371
öú	56FF	0	21372
öù	5704	0	21373
öû	5709	0	21374
öü	5708	0	21537
ö°	570D	0	21539
ö£	5718	0	21541
ö§	5716	0	21542
öß	5726	0	21545
ö®	5737	0	21546
ö©	5738	0	21547
ö´	573B	0	21549
ö≠	574F	0	21551
öÆ	5769	0	21552
öØ	57C0	0	21553
ö∞	5788	0	21554
ö≤	577F	0	21556
ö≥	5789	0	21557
ö¥	5793	0	21558
öµ	57A0	0	21559
ö∂	57B3	0	21560
ö∑	57A4	0	21561
ö∏	57AA	0	21562
öπ	57B0	0	21563
öª	57C6	0	21565
öº	57D4	0	21566
ö¿	57D6	0	21570
ö¡	57E3	0	21571
ö¬	580B	0	21572
ö√	5819	0	21573
öƒ	581D	0	21574
ö≈	5872	0	21575
ö∆	5821	0	21576
ö«	5862	0	21577
ö»	584B	0	21578
ö…	5870	0	21579
öÃ	583D	0	21582
öŒ	5885	0	21584
öœ	58B9	0	21585
ö—	58AB	0	21587
ö”	58DE	0	21589
ö’	58B8	0	21591
ö÷	58AE	0	21592
ö◊	58C5	0	21593
öÿ	58D3	0	21594
öŸ	58D1	0	21595
ö⁄	58D7	0	21596
ö€	58D9	0	21597
ö‹	58D8	0	21598
ö›	58E5	0	21599
öﬂ	58E4	0	21601
ö‡	58DF	0	21602
ö·	58EF	0	21603
ö„	58F9	0	21605
öÂ	58FC	0	21607
öÊ	58FD	0	21608
öÁ	5902	0	21609
öË	590A	0	21610
öÈ	5910	0	21611
öÍ	591B	0	21612
öÎ	68A6	0	21613
öÌ	592C	0	21615
öÔ	5932	0	21617
ö	5938	0	21618
öÒ	593E	0	21619
öÚ	7AD2	0	21620
öÙ	5950	0	21622
öı	594E	0	21623
ö˘	5960	0	21627
ö˚	596C	0	21629
õB	599D	0	21795
õD	4FAB	0	21797
õE	59A3	0	21798
õF	59B2	0	21799
õG	59C6	0	21800
õH	59E8	0	21801
õJ	598D	0	21803
õK	59D9	0	21804
õL	59DA	0	21805
õM	5A25	0	21806
õN	5A1F	0	21807
õP	5A1C	0	21809
õQ	5A09	0	21810
õR	5A1A	0	21811
õS	5A40	0	21812
õT	5A6C	0	21813
õV	5A35	0	21815
õ^	5AC2	0	21823
õ`	5AE3	0	21825
õa	5AD7	0	21826
õb	5AE6	0	21827
õc	5AE9	0	21828
õe	5AFA	0	21830
õf	5AFB	0	21831
õh	5B0B	0	21833
õi	5B16	0	21834
õk	5AD0	0	21836
õl	5B2A	0	21837
õn	5B3E	0	21839
õo	5B43	0	21840
õp	5B45	0	21841
õr	5B51	0	21843
õt	5B5A	0	21845
õu	5B5B	0	21846
õv	5B65	0	21847
õw	5B69	0	21848
õx	5B70	0	21849
õy	5B73	0	21850
õz	5B75	0	21851
õ{	5B78	0	21852
õ|	6588	0	21853
õ}	5B7A	0	21854
õ~	5B80	0	21855
õÄ	5B83	0	21856
õÇ	5BB8	0	21858
õÉ	5BC3	0	21859
õÖ	5BC9	0	21861
õÜ	5BD4	0	21862
õà	5BE4	0	21864
õâ	5BE6	0	21865
õä	5BE2	0	21866
õç	5BEB	0	21869
õé	5BF0	0	21870
õè	5BF6	0	21871
õê	5BF3	0	21872
õë	5C05	0	21873
õí	5C07	0	21874
õì	5C08	0	21875
õî	5C0D	0	21876
õï	5C13	0	21877
õó	5C22	0	21879
õô	5C38	0	21881
õú	5C46	0	21884
õù	5C4E	0	21885
õü	5C50	0	22049
õ°	5B71	0	22051
õ¢	5C6C	0	22052
õ£	5C6E	0	22053
õ§	4E62	0	22054
õ•	5C76	0	22055
õß	5C8C	0	22057
õ©	5C94	0	22059
õ™	599B	0	22060
õ´	5CAB	0	22061
õ¨	5CBB	0	22062
õ≠	5CB6	0	22063
õÆ	5CBC	0	22064
